Wavelength	Reflectance
2.000000e+02	0.418916
2.002500e+02	0.420140
2.005000e+02	0.420615
2.007500e+02	0.420458
2.010000e+02	0.419762
2.012500e+02	0.418601
2.015000e+02	0.417038
2.017500e+02	0.415128
2.020000e+02	0.412922
2.022500e+02	0.410466
2.025000e+02	0.407814
2.027500e+02	0.405023
2.030000e+02	0.402159
2.032500e+02	0.399309
2.035000e+02	0.396590
2.037500e+02	0.394169
2.040000e+02	0.392293
2.042500e+02	0.391358
2.045000e+02	0.392045
2.047500e+02	0.395681
2.050000e+02	0.405604
2.052500e+02	0.427260
2.055000e+02	0.416185
2.057500e+02	0.431921
2.060000e+02	0.444252
2.062500e+02	0.351411
2.065000e+02	0.270192
2.067500e+02	0.199067
2.070000e+02	0.142421
2.072500e+02	0.104980
2.075000e+02	0.089367
2.077500e+02	0.094900
2.080000e+02	0.117959
2.082500e+02	0.153440
2.085000e+02	0.196271
2.087500e+02	0.242331
2.090000e+02	0.288702
2.092500e+02	0.333544
2.095000e+02	0.375816
2.097500e+02	0.415021
2.100000e+02	0.450999
2.102500e+02	0.483794
2.105000e+02	0.513558
2.107500e+02	0.540498
2.110000e+02	0.564845
2.112500e+02	0.586832
2.115000e+02	0.606680
2.117500e+02	0.624598
2.120000e+02	0.640776
2.122500e+02	0.655386
2.125000e+02	0.668581
2.127500e+02	0.680500
2.130000e+02	0.691266
2.132500e+02	0.700987
2.135000e+02	0.709759
2.137500e+02	0.717667
2.140000e+02	0.724787
2.142500e+02	0.731187
2.145000e+02	0.736923
2.147500e+02	0.742046
2.150000e+02	0.746604
2.152500e+02	0.750635
2.155000e+02	0.754177
2.157500e+02	0.757259
2.160000e+02	0.759909
2.162500e+02	0.762151
2.165000e+02	0.764005
2.167500e+02	0.765489
2.170000e+02	0.766619
2.172500e+02	0.767407
2.175000e+02	0.767864
2.177500e+02	0.768000
2.180000e+02	0.767822
2.182500e+02	0.767336
2.185000e+02	0.766544
2.187500e+02	0.765449
2.190000e+02	0.764052
2.192500e+02	0.762353
2.195000e+02	0.760349
2.197500e+02	0.758039
2.200000e+02	0.755417
2.202500e+02	0.752477
2.205000e+02	0.749212
2.207500e+02	0.745614
2.210000e+02	0.741675
2.212500e+02	0.737382
2.215000e+02	0.732725
2.217500e+02	0.727690
2.220000e+02	0.722262
2.222500e+02	0.716427
2.225000e+02	0.710165
2.227500e+02	0.703459
2.230000e+02	0.696290
2.232500e+02	0.688635
2.235000e+02	0.680473
2.237500e+02	0.671782
2.240000e+02	0.662535
2.242500e+02	0.652708
2.245000e+02	0.642276
2.247500e+02	0.631212
2.250000e+02	0.619488
2.252500e+02	0.607078
2.255000e+02	0.593952
2.257500e+02	0.580087
2.260000e+02	0.565456
2.262500e+02	0.550038
2.265000e+02	0.533813
2.267500e+02	0.516766
2.270000e+02	0.498886
2.272500e+02	0.480170
2.275000e+02	0.460619
2.277500e+02	0.440255
2.280000e+02	0.419105
2.282500e+02	0.397212
2.285000e+02	0.374636
2.287500e+02	0.351462
2.290000e+02	0.327791
2.292500e+02	0.303760
2.295000e+02	0.279528
2.297500e+02	0.255283
2.300000e+02	0.231242
2.302500e+02	0.207653
2.305000e+02	0.184793
2.307500e+02	0.162950
2.310000e+02	0.142433
2.312500e+02	0.123542
2.315000e+02	0.106579
2.317500e+02	0.091813
2.320000e+02	0.079489
2.322500e+02	0.069794
2.325000e+02	0.062868
2.327500e+02	0.058778
2.330000e+02	0.057532
2.332500e+02	0.059069
2.335000e+02	0.063273
2.337500e+02	0.069975
2.340000e+02	0.078966
2.342500e+02	0.090011
2.345000e+02	0.102855
2.347500e+02	0.117244
2.350000e+02	0.132919
2.352500e+02	0.149639
2.355000e+02	0.167168
2.357500e+02	0.185311
2.360000e+02	0.203864
2.362500e+02	0.222666
2.365000e+02	0.241583
2.367500e+02	0.260479
2.370000e+02	0.279253
2.372500e+02	0.297825
2.375000e+02	0.316116
2.377500e+02	0.334074
2.380000e+02	0.351657
2.382500e+02	0.368819
2.385000e+02	0.385521
2.387500e+02	0.401776
2.390000e+02	0.417549
2.392500e+02	0.432839
2.395000e+02	0.447637
2.397500e+02	0.461941
2.400000e+02	0.475757
2.402500e+02	0.489086
2.405000e+02	0.501941
2.407500e+02	0.514320
2.410000e+02	0.526240
2.412500e+02	0.537704
2.415000e+02	0.548731
2.417500e+02	0.559324
2.420000e+02	0.569497
2.422500e+02	0.579261
2.425000e+02	0.588628
2.427500e+02	0.597613
2.430000e+02	0.606221
2.432500e+02	0.614471
2.435000e+02	0.622367
2.437500e+02	0.629928
2.440000e+02	0.637158
2.442500e+02	0.644075
2.445000e+02	0.650683
2.447500e+02	0.656993
2.450000e+02	0.663022
2.452500e+02	0.668773
2.455000e+02	0.674258
2.457500e+02	0.679490
2.460000e+02	0.684470
2.462500e+02	0.689211
2.465000e+02	0.693721
2.467500e+02	0.698007
2.470000e+02	0.702078
2.472500e+02	0.705940
2.475000e+02	0.709602
2.477500e+02	0.713070
2.480000e+02	0.716350
2.482500e+02	0.719447
2.485000e+02	0.722368
2.487500e+02	0.725120
2.490000e+02	0.727706
2.492500e+02	0.730132
2.495000e+02	0.732402
2.497500e+02	0.734522
2.500000e+02	0.736496
2.502500e+02	0.738328
2.505000e+02	0.740020
2.507500e+02	0.741578
2.510000e+02	0.743004
2.512500e+02	0.744301
2.515000e+02	0.745472
2.517500e+02	0.746520
2.520000e+02	0.747447
2.522500e+02	0.748256
2.525000e+02	0.748948
2.527500e+02	0.749526
2.530000e+02	0.749990
2.532500e+02	0.750344
2.535000e+02	0.750588
2.537500e+02	0.750722
2.540000e+02	0.750748
2.542500e+02	0.750667
2.545000e+02	0.750480
2.547500e+02	0.750188
2.550000e+02	0.749789
2.552500e+02	0.749284
2.555000e+02	0.748673
2.557500e+02	0.747955
2.560000e+02	0.747131
2.562500e+02	0.746199
2.565000e+02	0.745159
2.567500e+02	0.744009
2.570000e+02	0.742749
2.572500e+02	0.741376
2.575000e+02	0.739890
2.577500e+02	0.738289
2.580000e+02	0.736569
2.582500e+02	0.734730
2.585000e+02	0.732767
2.587500e+02	0.730679
2.590000e+02	0.728463
2.592500e+02	0.726116
2.595000e+02	0.723634
2.597500e+02	0.721012
2.600000e+02	0.718248
2.602500e+02	0.715336
2.605000e+02	0.712273
2.607500e+02	0.709052
2.610000e+02	0.705669
2.612500e+02	0.702118
2.615000e+02	0.698393
2.617500e+02	0.694489
2.620000e+02	0.690397
2.622500e+02	0.686113
2.625000e+02	0.681627
2.627500e+02	0.676932
2.630000e+02	0.672020
2.632500e+02	0.666883
2.635000e+02	0.661512
2.637500e+02	0.655898
2.640000e+02	0.650031
2.642500e+02	0.643901
2.645000e+02	0.637499
2.647500e+02	0.630814
2.650000e+02	0.623835
2.652500e+02	0.616550
2.655000e+02	0.608949
2.657500e+02	0.601021
2.660000e+02	0.592753
2.662500e+02	0.584136
2.665000e+02	0.575159
2.667500e+02	0.565809
2.670000e+02	0.556078
2.672500e+02	0.545953
2.675000e+02	0.535427
2.677500e+02	0.524491
2.680000e+02	0.513138
2.682500e+02	0.501362
2.685000e+02	0.489158
2.687500e+02	0.476527
2.690000e+02	0.463468
2.692500e+02	0.449986
2.695000e+02	0.436087
2.697500e+02	0.421779
2.700000e+02	0.407082
2.702500e+02	0.392014
2.705000e+02	0.376603
2.707500e+02	0.360884
2.710000e+02	0.344893
2.712500e+02	0.328682
2.715000e+02	0.312303
2.717500e+02	0.295819
2.720000e+02	0.279306
2.722500e+02	0.262840
2.725000e+02	0.246521
2.727500e+02	0.230447
2.730000e+02	0.214718
2.732500e+02	0.199443
2.735000e+02	0.184735
2.737500e+02	0.170721
2.740000e+02	0.157517
2.742500e+02	0.145239
2.745000e+02	0.133999
2.747500e+02	0.123898
2.750000e+02	0.115025
2.752500e+02	0.107456
2.755000e+02	0.101257
2.757500e+02	0.096476
2.760000e+02	0.093137
2.762500e+02	0.091246
2.765000e+02	0.090790
2.767500e+02	0.091741
2.770000e+02	0.094053
2.772500e+02	0.097664
2.775000e+02	0.102502
2.777500e+02	0.108485
2.780000e+02	0.115521
2.782500e+02	0.123516
2.785000e+02	0.132372
2.787500e+02	0.141992
2.790000e+02	0.152279
2.792500e+02	0.163138
2.795000e+02	0.174481
2.797500e+02	0.186224
2.800000e+02	0.198286
2.802500e+02	0.210596
2.805000e+02	0.223084
2.807500e+02	0.235690
2.810000e+02	0.248359
2.812500e+02	0.261041
2.815000e+02	0.273689
2.817500e+02	0.286266
2.820000e+02	0.298733
2.822500e+02	0.311057
2.825000e+02	0.323216
2.827500e+02	0.335175
2.830000e+02	0.346924
2.832500e+02	0.358437
2.835000e+02	0.369692
2.837500e+02	0.380690
2.840000e+02	0.391400
2.842500e+02	0.401824
2.845000e+02	0.411955
2.847500e+02	0.421764
2.850000e+02	0.431288
2.852500e+02	0.440480
2.855000e+02	0.449335
2.857500e+02	0.457913
2.860000e+02	0.466145
2.862500e+02	0.474038
2.865000e+02	0.481656
2.867500e+02	0.489009
2.870000e+02	0.495986
2.872500e+02	0.502670
2.875000e+02	0.509083
2.877500e+02	0.515178
2.880000e+02	0.521018
2.882500e+02	0.526574
2.885000e+02	0.531859
2.887500e+02	0.536906
2.890000e+02	0.541686
2.892500e+02	0.546235
2.895000e+02	0.550561
2.897500e+02	0.554654
2.900000e+02	0.558549
2.902500e+02	0.562235
2.905000e+02	0.565725
2.907500e+02	0.569037
2.910000e+02	0.572162
2.912500e+02	0.575124
2.915000e+02	0.577931
2.917500e+02	0.580582
2.920000e+02	0.583095
2.922500e+02	0.585467
2.925000e+02	0.587707
2.927500e+02	0.589832
2.930000e+02	0.591836
2.932500e+02	0.593732
2.935000e+02	0.595525
2.937500e+02	0.597217
2.940000e+02	0.598817
2.942500e+02	0.600328
2.945000e+02	0.601754
2.947500e+02	0.603106
2.950000e+02	0.604384
2.952500e+02	0.605591
2.955000e+02	0.606729
2.957500e+02	0.607799
2.960000e+02	0.608810
2.962500e+02	0.609765
2.965000e+02	0.610664
2.967500e+02	0.611510
2.970000e+02	0.612303
2.972500e+02	0.613046
2.975000e+02	0.613741
2.977500e+02	0.614388
2.980000e+02	0.614989
2.982500e+02	0.615548
2.985000e+02	0.616064
2.987500e+02	0.616538
2.990000e+02	0.616972
2.992500e+02	0.617365
2.995000e+02	0.617718
2.997500e+02	0.618030
3.000000e+02	0.618304
3.002500e+02	0.618540
3.005000e+02	0.618739
3.007500e+02	0.618900
3.010000e+02	0.619024
3.012500e+02	0.619111
3.015000e+02	0.619160
3.017500e+02	0.619173
3.020000e+02	0.619149
3.022500e+02	0.619088
3.025000e+02	0.618990
3.027500e+02	0.618855
3.030000e+02	0.618686
3.032500e+02	0.618481
3.035000e+02	0.618240
3.037500e+02	0.617962
3.040000e+02	0.617648
3.042500e+02	0.617297
3.045000e+02	0.616910
3.047500e+02	0.616486
3.050000e+02	0.616025
3.052500e+02	0.615529
3.055000e+02	0.614997
3.057500e+02	0.614427
3.060000e+02	0.613821
3.062500e+02	0.613179
3.065000e+02	0.612499
3.067500e+02	0.611781
3.070000e+02	0.611026
3.072500e+02	0.610234
3.075000e+02	0.609404
3.077500e+02	0.608536
3.080000e+02	0.607631
3.082500e+02	0.606687
3.085000e+02	0.605704
3.087500e+02	0.604682
3.090000e+02	0.603621
3.092500e+02	0.602521
3.095000e+02	0.601381
3.097500e+02	0.600201
3.100000e+02	0.598982
3.102500e+02	0.597722
3.105000e+02	0.596421
3.107500e+02	0.595078
3.110000e+02	0.593694
3.112500e+02	0.592269
3.115000e+02	0.590801
3.117500e+02	0.589291
3.120000e+02	0.587738
3.122500e+02	0.586142
3.125000e+02	0.584502
3.127500e+02	0.582819
3.130000e+02	0.581091
3.132500e+02	0.579319
3.135000e+02	0.577502
3.137500e+02	0.575640
3.140000e+02	0.573732
3.142500e+02	0.571777
3.145000e+02	0.569777
3.147500e+02	0.567730
3.150000e+02	0.565636
3.152500e+02	0.563493
3.155000e+02	0.561302
3.157500e+02	0.559063
3.160000e+02	0.556775
3.162500e+02	0.554437
3.165000e+02	0.552051
3.167500e+02	0.549614
3.170000e+02	0.547128
3.172500e+02	0.544590
3.175000e+02	0.542001
3.177500e+02	0.539360
3.180000e+02	0.536668
3.182500e+02	0.533923
3.185000e+02	0.531125
3.187500e+02	0.528275
3.190000e+02	0.525371
3.192500e+02	0.522414
3.195000e+02	0.519402
3.197500e+02	0.516336
3.200000e+02	0.513215
3.202500e+02	0.510039
3.205000e+02	0.506807
3.207500e+02	0.503520
3.210000e+02	0.500177
3.212500e+02	0.496777
3.215000e+02	0.493321
3.217500e+02	0.489808
3.220000e+02	0.486239
3.222500e+02	0.482612
3.225000e+02	0.478928
3.227500e+02	0.475186
3.230000e+02	0.471387
3.232500e+02	0.467529
3.235000e+02	0.463614
3.237500e+02	0.459641
3.240000e+02	0.455610
3.242500e+02	0.451520
3.245000e+02	0.447372
3.247500e+02	0.443166
3.250000e+02	0.438902
3.252500e+02	0.434580
3.255000e+02	0.430201
3.257500e+02	0.425763
3.260000e+02	0.421269
3.262500e+02	0.416717
3.265000e+02	0.412108
3.267500e+02	0.407443
3.270000e+02	0.402721
3.272500e+02	0.397944
3.275000e+02	0.393111
3.277500e+02	0.388224
3.280000e+02	0.383282
3.282500e+02	0.378288
3.285000e+02	0.373240
3.287500e+02	0.368141
3.290000e+02	0.362991
3.292500e+02	0.357790
3.295000e+02	0.352541
3.297500e+02	0.347243
3.300000e+02	0.341898
3.302500e+02	0.336508
3.305000e+02	0.331073
3.307500e+02	0.325595
3.310000e+02	0.320076
3.312500e+02	0.314516
3.315000e+02	0.308919
3.317500e+02	0.303286
3.320000e+02	0.297617
3.322500e+02	0.291917
3.325000e+02	0.286185
3.327500e+02	0.280426
3.330000e+02	0.274640
3.332500e+02	0.268831
3.335000e+02	0.263001
3.337500e+02	0.257152
3.340000e+02	0.251288
3.342500e+02	0.245411
3.345000e+02	0.239524
3.347500e+02	0.233630
3.350000e+02	0.227733
3.352500e+02	0.221836
3.355000e+02	0.215941
3.357500e+02	0.210054
3.360000e+02	0.204177
3.362500e+02	0.198315
3.365000e+02	0.192471
3.367500e+02	0.186650
3.370000e+02	0.180855
3.372500e+02	0.175092
3.375000e+02	0.169363
3.377500e+02	0.163674
3.380000e+02	0.158030
3.382500e+02	0.152434
3.385000e+02	0.146893
3.387500e+02	0.141410
3.390000e+02	0.135990
3.392500e+02	0.130640
3.395000e+02	0.125363
3.397500e+02	0.120164
3.400000e+02	0.115050
3.402500e+02	0.110024
3.405000e+02	0.105092
3.407500e+02	0.100260
3.410000e+02	0.095532
3.412500e+02	0.090914
3.415000e+02	0.086411
3.417500e+02	0.082029
3.420000e+02	0.077772
3.422500e+02	0.073644
3.425000e+02	0.069652
3.427500e+02	0.065799
3.430000e+02	0.062091
3.432500e+02	0.058533
3.435000e+02	0.055128
3.437500e+02	0.051882
3.440000e+02	0.048797
3.442500e+02	0.045880
3.445000e+02	0.043132
3.447500e+02	0.040558
3.450000e+02	0.038160
3.452500e+02	0.035944
3.455000e+02	0.033910
3.457500e+02	0.032062
3.460000e+02	0.030403
3.462500e+02	0.028934
3.465000e+02	0.027658
3.467500e+02	0.026576
3.470000e+02	0.025689
3.472500e+02	0.024999
3.475000e+02	0.024507
3.477500e+02	0.024212
3.480000e+02	0.024115
3.482500e+02	0.024216
3.485000e+02	0.024516
3.487500e+02	0.025014
3.490000e+02	0.025708
3.492500e+02	0.026597
3.495000e+02	0.027681
3.497500e+02	0.028958
3.500000e+02	0.030425
3.502500e+02	0.032083
3.505000e+02	0.033928
3.507500e+02	0.035957
3.510000e+02	0.038170
3.512500e+02	0.040563
3.515000e+02	0.043133
3.517500e+02	0.045877
3.520000e+02	0.048794
3.522500e+02	0.051879
3.525000e+02	0.055129
3.527500e+02	0.058542
3.530000e+02	0.062114
3.532500e+02	0.065841
3.535000e+02	0.069720
3.537500e+02	0.073747
3.540000e+02	0.077919
3.542500e+02	0.082232
3.545000e+02	0.086682
3.547500e+02	0.091265
3.550000e+02	0.095977
3.552500e+02	0.100814
3.555000e+02	0.105772
3.557500e+02	0.110846
3.560000e+02	0.116031
3.562500e+02	0.121322
3.565000e+02	0.126715
3.567500e+02	0.132206
3.570000e+02	0.137789
3.572500e+02	0.143460
3.575000e+02	0.149210
3.577500e+02	0.155036
3.580000e+02	0.160934
3.582500e+02	0.166895
3.585000e+02	0.172913
3.587500e+02	0.178985
3.590000e+02	0.185103
3.592500e+02	0.191260
3.595000e+02	0.197452
3.597500e+02	0.203672
3.600000e+02	0.209912
3.602500e+02	0.216167
3.605000e+02	0.222432
3.607500e+02	0.228699
3.610000e+02	0.234961
3.612500e+02	0.241215
3.615000e+02	0.247453
3.617500e+02	0.253668
3.620000e+02	0.259856
3.622500e+02	0.266013
3.625000e+02	0.272130
3.627500e+02	0.278205
3.630000e+02	0.284234
3.632500e+02	0.290209
3.635000e+02	0.296122
3.637500e+02	0.301975
3.640000e+02	0.307762
3.642500e+02	0.313476
3.645000e+02	0.319119
3.647500e+02	0.324687
3.650000e+02	0.330170
3.652500e+02	0.335569
3.655000e+02	0.340884
3.657500e+02	0.346108
3.660000e+02	0.351239
3.662500e+02	0.356282
3.665000e+02	0.361231
3.667500e+02	0.366077
3.670000e+02	0.370828
3.672500e+02	0.375482
3.675000e+02	0.380032
3.677500e+02	0.384478
3.680000e+02	0.388828
3.682500e+02	0.393073
3.685000e+02	0.397209
3.687500e+02	0.401250
3.690000e+02	0.405190
3.692500e+02	0.409018
3.695000e+02	0.412746
3.697500e+02	0.416379
3.700000e+02	0.419905
3.702500e+02	0.423319
3.705000e+02	0.426649
3.707500e+02	0.429878
3.710000e+02	0.432987
3.712500e+02	0.436021
3.715000e+02	0.438969
3.717500e+02	0.441788
3.720000e+02	0.444479
3.722500e+02	0.447113
3.725000e+02	0.449687
3.727500e+02	0.452190
3.730000e+02	0.454564
3.732500e+02	0.456832
3.735000e+02	0.459036
3.737500e+02	0.461169
3.740000e+02	0.463195
3.742500e+02	0.465142
3.745000e+02	0.467028
3.747500e+02	0.468827
3.750000e+02	0.470546
