Wavelength(nm)	n	k
1.870000e+02	2.619769	0.101364
1.874269e+02	2.619824	0.100519
1.878537e+02	2.619894	0.099652
1.882806e+02	2.619980	0.098762
1.887074e+02	2.620081	0.097848
1.891343e+02	2.620197	0.096909
1.895611e+02	2.620329	0.095944
1.899880e+02	2.620474	0.094953
1.904148e+02	2.620634	0.093935
1.908417e+02	2.620808	0.092889
1.912685e+02	2.620996	0.091813
1.916954e+02	2.621198	0.090707
1.921222e+02	2.621413	0.089570
1.925491e+02	2.621642	0.088399
1.929760e+02	2.621883	0.087195
1.934028e+02	2.622138	0.085954
1.938297e+02	2.622405	0.084676
1.942565e+02	2.622684	0.083359
1.946834e+02	2.622977	0.082001
1.951102e+02	2.623281	0.080599
1.955371e+02	2.623597	0.079152
1.959639e+02	2.623925	0.077656
1.963908e+02	2.624265	0.076109
1.968176e+02	2.624616	0.074507
1.972445e+02	2.624979	0.072847
1.976713e+02	2.625353	0.071124
1.980982e+02	2.625738	0.069334
1.985251e+02	2.626133	0.067471
1.989519e+02	2.626540	0.065530
1.993788e+02	2.626957	0.063501
1.998056e+02	2.627385	0.061378
2.002325e+02	2.627823	0.059150
2.006593e+02	2.628271	0.056803
2.010862e+02	2.628729	0.054323
2.015130e+02	2.629197	0.051691
2.019399e+02	2.629675	0.048881
2.023667e+02	2.630163	0.045860
2.027936e+02	2.630660	0.042585
2.032204e+02	2.631167	0.038990
2.036473e+02	2.631683	0.034977
2.040741e+02	2.632209	0.030381
2.045010e+02	2.632743	0.024879
2.049279e+02	2.633287	0.017645
2.053547e+02	2.633761	0.000080
2.057816e+02	2.616656	0.000004
2.062084e+02	2.609804	0.000004
2.066353e+02	2.604637	0.000004
2.070621e+02	2.600340	0.000004
2.074890e+02	2.596595	0.000004
2.079158e+02	2.593243	0.000004
2.083427e+02	2.590186	0.000004
2.087695e+02	2.587364	0.000004
2.091964e+02	2.584732	0.000004
2.096232e+02	2.582260	0.000003
2.100501e+02	2.579924	0.000003
2.104770e+02	2.577706	0.000003
2.109038e+02	2.575592	0.000003
2.113307e+02	2.573569	0.000003
2.117575e+02	2.571628	0.000003
2.121844e+02	2.569761	0.000003
2.126112e+02	2.567961	0.000003
2.130381e+02	2.566222	0.000003
2.134649e+02	2.564539	0.000003
2.138918e+02	2.562909	0.000003
2.143186e+02	2.561326	0.000003
2.147455e+02	2.559789	0.000003
2.151723e+02	2.558293	0.000003
2.155992e+02	2.556836	0.000003
2.160261e+02	2.555416	0.000003
2.164529e+02	2.554031	0.000003
2.168798e+02	2.552678	0.000003
2.173066e+02	2.551356	0.000003
2.177335e+02	2.550064	0.000003
2.181603e+02	2.548799	0.000003
2.185872e+02	2.547561	0.000003
2.190140e+02	2.546348	0.000003
2.194409e+02	2.545159	0.000003
2.198677e+02	2.543994	0.000003
2.202946e+02	2.542850	0.000003
2.207214e+02	2.541728	0.000003
2.211483e+02	2.540626	0.000003
2.215752e+02	2.539543	0.000003
2.220020e+02	2.538480	0.000003
2.224289e+02	2.537434	0.000003
2.228557e+02	2.536406	0.000003
2.232826e+02	2.535395	0.000003
2.237094e+02	2.534400	0.000003
2.241363e+02	2.533421	0.000003
2.245631e+02	2.532457	0.000003
2.249900e+02	2.531507	0.000003
2.254168e+02	2.530572	0.000003
2.258437e+02	2.529651	0.000003
2.262705e+02	2.528744	0.000003
2.266974e+02	2.527849	0.000003
2.271242e+02	2.526967	0.000003
2.275511e+02	2.526098	0.000003
2.279780e+02	2.525240	0.000003
2.284048e+02	2.524394	0.000003
2.288317e+02	2.523559	0.000003
2.292585e+02	2.522736	0.000003
2.296854e+02	2.521923	0.000003
2.301122e+02	2.521120	0.000003
2.305391e+02	2.520328	0.000003
2.309659e+02	2.519546	0.000003
2.313928e+02	2.518774	0.000003
2.318196e+02	2.518011	0.000003
2.322465e+02	2.517257	0.000003
2.326733e+02	2.516513	0.000003
2.331002e+02	2.515777	0.000003
2.335271e+02	2.515050	0.000003
2.339539e+02	2.514332	0.000003
2.343808e+02	2.513622	0.000003
2.348076e+02	2.512920	0.000003
2.352345e+02	2.512226	0.000003
2.356613e+02	2.511540	0.000003
2.360882e+02	2.510861	0.000003
2.365150e+02	2.510190	0.000003
2.369419e+02	2.509526	0.000003
2.373687e+02	2.508870	0.000003
2.377956e+02	2.508220	0.000003
2.382224e+02	2.507578	0.000003
2.386493e+02	2.506942	0.000003
2.390762e+02	2.506313	0.000003
2.395030e+02	2.505691	0.000003
2.399299e+02	2.505074	0.000003
2.403567e+02	2.504465	0.000003
2.407836e+02	2.503861	0.000003
2.412104e+02	2.503264	0.000003
2.416373e+02	2.502672	0.000002
2.420641e+02	2.502086	0.000002
2.424910e+02	2.501506	0.000002
2.429178e+02	2.500932	0.000002
2.433447e+02	2.500363	0.000002
2.437715e+02	2.499800	0.000002
2.441984e+02	2.499243	0.000002
2.446253e+02	2.498690	0.000002
2.450521e+02	2.498143	0.000002
2.454790e+02	2.497601	0.000002
2.459058e+02	2.497064	0.000002
2.463327e+02	2.496532	0.000002
2.467595e+02	2.496004	0.000002
2.471864e+02	2.495482	0.000002
2.476132e+02	2.494965	0.000002
2.480401e+02	2.494452	0.000002
2.484669e+02	2.493943	0.000002
2.488938e+02	2.493440	0.000002
2.493206e+02	2.492940	0.000002
2.497475e+02	2.492445	0.000002
2.501743e+02	2.491955	0.000002
2.506012e+02	2.491469	0.000002
2.510281e+02	2.490987	0.000002
2.514549e+02	2.490509	0.000002
2.518818e+02	2.490035	0.000002
