Wavelength(nm)	R_simulated	R_experimental
2.000000e+02	0.474267	0.433570
2.002500e+02	0.470106	0.435120
2.005000e+02	0.465351	0.439060
2.007500e+02	0.460040	0.442490
2.010000e+02	0.454214	0.442510
2.012500e+02	0.447924	0.448030
2.015000e+02	0.441232	0.455370
2.017500e+02	0.434219	0.455980
2.020000e+02	0.426993	0.452340
2.022500e+02	0.419707	0.451030
2.025000e+02	0.412590	0.452540
2.027500e+02	0.406001	0.449430
2.030000e+02	0.400546	0.442740
2.032500e+02	0.397412	0.430250
2.035000e+02	0.399697	0.414330
2.037500e+02	0.407805	0.396720
2.040000e+02	0.393806	0.370610
2.042500e+02	0.401053	0.343490
2.045000e+02	0.384676	0.316310
2.047500e+02	0.315891	0.287470
2.050000e+02	0.255415	0.262240
2.052500e+02	0.203200	0.234760
2.055000e+02	0.161906	0.211180
2.057500e+02	0.134240	0.193360
2.060000e+02	0.121765	0.182410
2.062500e+02	0.124306	0.181380
2.065000e+02	0.140015	0.187060
2.067500e+02	0.165970	0.196060
2.070000e+02	0.198926	0.213650
2.072500e+02	0.235924	0.241660
2.075000e+02	0.274594	0.272950
2.077500e+02	0.313220	0.300850
2.080000e+02	0.350668	0.334670
2.082500e+02	0.386252	0.366640
2.085000e+02	0.419605	0.400260
2.087500e+02	0.450572	0.438800
2.090000e+02	0.479138	0.477500
2.092500e+02	0.505370	0.513740
2.095000e+02	0.529384	0.549500
2.097500e+02	0.551321	0.586440
2.100000e+02	0.571331	0.621950
2.102500e+02	0.589563	0.656000
2.105000e+02	0.606164	0.687500
2.107500e+02	0.621270	0.716230
2.110000e+02	0.635009	0.743530
2.112500e+02	0.647498	0.769640
2.115000e+02	0.658845	0.795780
2.117500e+02	0.669147	0.818990
2.120000e+02	0.678491	0.838130
2.122500e+02	0.686956	0.856810
2.125000e+02	0.694612	0.872980
2.127500e+02	0.701524	0.887770
2.130000e+02	0.707747	0.902130
2.132500e+02	0.713333	0.914660
2.135000e+02	0.718327	0.924660
2.137500e+02	0.722768	0.932060
2.140000e+02	0.726695	0.939660
2.142500e+02	0.730139	0.946890
2.145000e+02	0.733128	0.953170
2.147500e+02	0.735687	0.958070
2.150000e+02	0.737837	0.961250
2.152500e+02	0.739600	0.962980
2.155000e+02	0.740993	0.964090
2.157500e+02	0.742030	0.965600
2.160000e+02	0.742724	0.964760
2.162500e+02	0.743086	0.962670
2.165000e+02	0.743126	0.958870
2.167500e+02	0.742852	0.953670
2.170000e+02	0.742269	0.950870
2.172500e+02	0.741383	0.948660
2.175000e+02	0.740197	0.945200
2.177500e+02	0.738713	0.941670
2.180000e+02	0.736934	0.936990
2.182500e+02	0.734860	0.929540
2.185000e+02	0.732489	0.921890
2.187500e+02	0.729817	0.913050
2.190000e+02	0.726844	0.905530
2.192500e+02	0.723565	0.897540
2.195000e+02	0.719976	0.887560
2.197500e+02	0.716070	0.878510
2.200000e+02	0.711840	0.869280
2.202500e+02	0.707279	0.859490
2.205000e+02	0.702378	0.849430
2.207500e+02	0.697129	0.838100
2.210000e+02	0.691520	0.826240
2.212500e+02	0.685541	0.814770
2.215000e+02	0.679181	0.802290
2.217500e+02	0.672426	0.788550
2.220000e+02	0.665264	0.773900
2.222500e+02	0.657682	0.759030
2.225000e+02	0.649664	0.744000
2.227500e+02	0.641196	0.728050
2.230000e+02	0.632262	0.712200
2.232500e+02	0.622848	0.695210
2.235000e+02	0.612938	0.677030
2.237500e+02	0.602518	0.658950
2.240000e+02	0.591573	0.641730
2.242500e+02	0.580088	0.624970
2.245000e+02	0.568052	0.606200
2.247500e+02	0.555455	0.585540
2.250000e+02	0.542288	0.565100
2.252500e+02	0.528542	0.545220
2.255000e+02	0.514213	0.524690
2.257500e+02	0.499304	0.503630
2.260000e+02	0.483817	0.482870
2.262500e+02	0.467767	0.461940
2.265000e+02	0.451168	0.440470
2.267500e+02	0.434048	0.419440
2.270000e+02	0.416441	0.398820
2.272500e+02	0.398389	0.377940
2.275000e+02	0.379947	0.356610
2.277500e+02	0.361188	0.336160
2.280000e+02	0.342193	0.316030
2.282500e+02	0.323058	0.296510
2.285000e+02	0.303892	0.278610
2.287500e+02	0.284822	0.259640
2.290000e+02	0.265987	0.241870
2.292500e+02	0.247540	0.226920
2.295000e+02	0.229646	0.211800
2.297500e+02	0.212473	0.198110
2.300000e+02	0.196193	0.185980
2.302500e+02	0.180980	0.174520
2.305000e+02	0.167006	0.164310
2.307500e+02	0.154424	0.155930
2.310000e+02	0.143375	0.149260
2.312500e+02	0.133977	0.143460
2.315000e+02	0.126320	0.138520
2.317500e+02	0.120469	0.135970
2.320000e+02	0.116451	0.133540
2.322500e+02	0.114274	0.132220
2.325000e+02	0.113914	0.133450
2.327500e+02	0.115301	0.135350
2.330000e+02	0.118362	0.137850
2.332500e+02	0.122989	0.141560
2.335000e+02	0.129065	0.146800
2.337500e+02	0.136463	0.152250
2.340000e+02	0.145042	0.158530
2.342500e+02	0.154665	0.165230
2.345000e+02	0.165192	0.172680
2.347500e+02	0.176495	0.181310
2.350000e+02	0.188439	0.189190
2.352500e+02	0.200914	0.197910
2.355000e+02	0.213797	0.207480
2.357500e+02	0.227006	0.216030
2.360000e+02	0.240432	0.224930
2.362500e+02	0.254003	0.234680
2.365000e+02	0.267655	0.244840
2.367500e+02	0.281315	0.254510
2.370000e+02	0.294933	0.263780
2.372500e+02	0.308471	0.273800
2.375000e+02	0.321880	0.283420
2.377500e+02	0.335134	0.292320
2.380000e+02	0.348212	0.301480
2.382500e+02	0.361076	0.310230
2.385000e+02	0.373698	0.318990
2.387500e+02	0.386097	0.327890
2.390000e+02	0.398239	0.336170
2.392500e+02	0.410122	0.344410
2.395000e+02	0.421735	0.352070
2.397500e+02	0.433070	0.359600
2.400000e+02	0.444129	0.367550
2.402500e+02	0.454906	0.374490
2.405000e+02	0.465408	0.380830
2.407500e+02	0.475624	0.387350
2.410000e+02	0.485564	0.393620
2.412500e+02	0.495224	0.400220
2.415000e+02	0.504612	0.406450
2.417500e+02	0.513726	0.411570
2.420000e+02	0.522569	0.416410
2.422500e+02	0.531146	0.421580
2.425000e+02	0.539461	0.426870
2.427500e+02	0.547521	0.431310
2.430000e+02	0.555325	0.434910
2.432500e+02	0.562883	0.438150
2.435000e+02	0.570194	0.441640
2.437500e+02	0.577269	0.445230
2.440000e+02	0.584107	0.448840
2.442500e+02	0.590719	0.452150
2.445000e+02	0.597106	0.455250
2.447500e+02	0.603270	0.458160
2.450000e+02	0.609227	0.460660
2.452500e+02	0.614973	0.462930
2.455000e+02	0.620516	0.465260
2.457500e+02	0.625865	0.467400
2.460000e+02	0.631019	0.469140
2.462500e+02	0.635986	0.470590
2.465000e+02	0.640769	0.471910
2.467500e+02	0.645375	0.473130
2.470000e+02	0.649809	0.474520
2.472500e+02	0.654074	0.475990
2.475000e+02	0.658179	0.476840
2.477500e+02	0.662126	0.477680
2.480000e+02	0.665919	0.478210
2.482500e+02	0.669562	0.478590
2.485000e+02	0.673061	0.479360
2.487500e+02	0.676421	0.479990
2.490000e+02	0.679645	0.480360
2.492500e+02	0.682736	0.480750
2.495000e+02	0.685698	0.481370
2.497500e+02	0.688536	0.482040
2.500000e+02	0.691255	0.482290
2.502500e+02	0.693857	0.481900
2.505000e+02	0.696345	0.481160
2.507500e+02	0.698723	0.480370
2.510000e+02	0.700994	0.479650
2.512500e+02	0.703162	0.479030
2.515000e+02	0.705229	0.478400
2.517500e+02	0.707198	0.477730
2.520000e+02	0.709072	0.477110
2.522500e+02	0.710853	0.476620
2.525000e+02	0.712544	0.475980
2.527500e+02	0.714148	0.475320
2.530000e+02	0.715666	0.474900
2.532500e+02	0.717102	0.474390
2.535000e+02	0.718457	0.473720
2.537500e+02	0.719733	0.472780
2.540000e+02	0.720932	0.471560
2.542500e+02	0.722056	0.470300
2.545000e+02	0.723108	0.468910
2.547500e+02	0.724088	0.467670
2.550000e+02	0.724999	0.466620
2.552500e+02	0.725840	0.465500
2.555000e+02	0.726615	0.464160
2.557500e+02	0.727323	0.462760
2.560000e+02	0.727966	0.461480
2.562500e+02	0.728545	0.460480
2.565000e+02	0.729062	0.459380
2.567500e+02	0.729517	0.458060
2.570000e+02	0.729911	0.456600
