Wavelength	Reflectance
1.500000e+02	33.781424
1.503338e+02	33.799190
1.506676e+02	33.821468
1.510013e+02	33.848228
1.513351e+02	33.870665
1.516689e+02	33.899974
1.520027e+02	33.962718
1.523364e+02	34.042297
1.526702e+02	34.113815
1.530040e+02	34.187266
1.533378e+02	34.284867
1.536716e+02	34.407684
1.540053e+02	34.535751
1.543391e+02	34.674606
1.546729e+02	34.820081
1.550067e+02	34.941193
1.553405e+02	35.018525
1.556742e+02	35.070910
1.560080e+02	35.123300
1.563418e+02	35.176660
1.566756e+02	35.226537
1.570093e+02	35.285877
1.573431e+02	35.395716
1.576769e+02	35.521022
1.580107e+02	35.553071
1.583445e+02	35.485236
1.586782e+02	35.387392
1.590120e+02	35.271072
1.593458e+02	35.131459
1.596796e+02	34.961906
1.600134e+02	34.768492
1.603471e+02	34.546779
1.606809e+02	34.300580
1.610147e+02	34.022941
1.613485e+02	33.738407
1.616822e+02	33.481158
1.620160e+02	33.252726
1.623498e+02	33.062830
1.626836e+02	32.882860
1.630174e+02	32.664039
1.633511e+02	32.314137
1.636849e+02	31.899293
1.640187e+02	31.579572
1.643525e+02	31.395878
1.646862e+02	31.245173
1.650200e+02	31.045313
1.653538e+02	30.641360
1.656876e+02	30.145041
1.660214e+02	29.834296
1.663551e+02	29.724405
1.666889e+02	29.649798
1.670227e+02	29.552892
1.673565e+02	29.376418
1.676903e+02	29.147740
1.680240e+02	28.929309
1.683578e+02	28.735412
1.686916e+02	28.546375
1.690254e+02	28.361465
1.693591e+02	28.171159
1.696929e+02	27.980837
1.700267e+02	27.807571
1.703605e+02	27.656374
1.706943e+02	27.514715
1.710280e+02	27.367164
1.713618e+02	27.158659
1.716956e+02	26.922592
1.720294e+02	26.754979
1.723632e+02	26.667785
1.726969e+02	26.600269
1.730307e+02	26.515290
1.733645e+02	26.376807
1.736983e+02	26.218967
1.740320e+02	26.099727
1.743658e+02	26.017593
1.746996e+02	25.939664
1.750334e+02	25.855614
1.753672e+02	25.753708
1.757009e+02	25.639450
1.760347e+02	25.525005
1.763685e+02	25.385611
1.767023e+02	25.250376
1.770360e+02	25.183795
1.773698e+02	25.165033
1.777036e+02	25.151096
1.780374e+02	25.135934
1.783712e+02	25.065817
1.787049e+02	24.957205
1.790387e+02	24.881008
1.793725e+02	24.846480
1.797063e+02	24.821998
1.800401e+02	24.793563
1.803738e+02	24.755951
1.807076e+02	24.710138
1.810414e+02	24.652440
1.813752e+02	24.569586
1.817089e+02	24.475990
1.820427e+02	24.398420
1.823765e+02	24.341591
1.827103e+02	24.285758
1.830441e+02	24.209270
1.833778e+02	24.052834
1.837116e+02	23.868497
1.840454e+02	23.779583
1.843792e+02	23.760581
1.847130e+02	23.746230
1.850467e+02	23.730661
1.853805e+02	23.677718
1.857143e+02	23.592749
1.860481e+02	23.505472
1.863818e+02	23.400512
1.867156e+02	23.288157
1.870494e+02	23.207634
1.873832e+02	23.143457
1.877170e+02	23.086215
1.880507e+02	23.056130
1.883845e+02	23.068855
1.887183e+02	23.100467
1.890521e+02	23.117366
1.893858e+02	23.121979
1.897196e+02	23.123805
1.900534e+02	23.119288
1.903872e+02	23.100739
1.907210e+02	23.073040
1.910547e+02	23.047839
1.913885e+02	23.045668
1.917223e+02	23.060544
1.920561e+02	23.075847
1.923899e+02	23.087263
1.927236e+02	23.103123
1.930574e+02	23.131156
1.933912e+02	23.163249
1.937250e+02	23.198346
1.940587e+02	23.244282
1.943925e+02	23.322842
1.947263e+02	23.425805
1.950601e+02	23.531099
1.953939e+02	23.644984
1.957276e+02	23.764626
1.960614e+02	23.873494
1.963952e+02	23.958117
1.967290e+02	24.024371
1.970628e+02	24.081239
1.973965e+02	24.088488
1.977303e+02	24.061885
1.980641e+02	24.064117
1.983979e+02	24.113338
1.987316e+02	24.226901
1.990654e+02	24.439665
1.993992e+02	24.861952
1.997330e+02	25.283326
2.000668e+02	25.325308
2.004005e+02	24.691828
2.007343e+02	23.423601
2.010681e+02	22.771207
2.014019e+02	12.437319
2.017356e+02	2.764229
2.020694e+02	15.830968
2.024032e+02	24.633029
2.027370e+02	31.758777
2.030708e+02	40.178101
2.034045e+02	54.878499
2.037383e+02	68.387583
2.040721e+02	73.428260
2.044059e+02	74.430066
2.047397e+02	75.019980
2.050734e+02	75.430157
2.054072e+02	75.672543
2.057410e+02	75.700204
2.060748e+02	75.565843
2.064085e+02	75.360151
2.067423e+02	75.102949
2.070761e+02	74.772049
2.074099e+02	74.361567
2.077437e+02	73.876098
2.080774e+02	73.309481
2.084112e+02	72.656872
2.087450e+02	71.914085
2.090788e+02	71.075454
2.094126e+02	70.134366
2.097463e+02	69.083551
2.100801e+02	67.914934
2.104139e+02	66.619344
2.107477e+02	65.187056
2.110814e+02	63.607690
2.114152e+02	61.869989
2.117490e+02	59.962213
2.120828e+02	57.872993
2.124166e+02	55.591138
2.127503e+02	53.106741
2.130841e+02	50.412682
2.134179e+02	47.505659
2.137517e+02	44.389316
2.140854e+02	41.077436
2.144192e+02	37.596709
2.147530e+02	33.991759
2.150868e+02	30.331180
2.154206e+02	26.708840
2.157543e+02	23.245581
2.160881e+02	20.086554
2.164219e+02	17.388653
2.167557e+02	15.304035
2.170895e+02	13.958114
2.174232e+02	13.427832
2.177570e+02	13.728489
2.180908e+02	14.811842
2.184246e+02	16.577250
2.187583e+02	18.890750
2.190921e+02	21.606538
2.194259e+02	24.585241
2.197597e+02	27.704783
2.200935e+02	30.865791
2.204272e+02	33.993050
2.207610e+02	37.031995
2.210948e+02	39.945462
2.214286e+02	42.710572
2.217623e+02	45.314004
2.220961e+02	47.750308
2.224299e+02	50.019585
2.227637e+02	52.124664
2.230975e+02	54.070919
2.234312e+02	55.865523
2.237650e+02	57.516166
2.240988e+02	59.030843
2.244326e+02	60.417850
2.247664e+02	61.685000
2.251001e+02	62.839900
2.254339e+02	63.889878
2.257677e+02	64.841751
2.261015e+02	65.701882
2.264352e+02	66.476223
2.267690e+02	67.170175
2.271028e+02	67.788800
2.274366e+02	68.336702
2.277704e+02	68.818159
2.281041e+02	69.237121
2.284379e+02	69.596945
2.287717e+02	69.900899
2.291055e+02	70.151907
2.294393e+02	70.352708
2.297730e+02	70.505727
2.301068e+02	70.612847
2.304406e+02	70.676228
2.307744e+02	70.697828
2.311081e+02	70.679085
2.314419e+02	70.621283
2.317757e+02	70.525885
2.321095e+02	70.393062
2.324433e+02	70.225421
2.327770e+02	70.022638
2.331108e+02	69.785932
2.334446e+02	69.515176
2.337784e+02	69.211558
2.341121e+02	68.874953
2.344459e+02	68.505182
2.347797e+02	68.103127
2.351135e+02	67.668181
2.354473e+02	67.200186
2.357810e+02	66.699279
2.361148e+02	66.163869
2.364486e+02	65.594671
2.367824e+02	64.990120
2.371162e+02	64.349388
2.374499e+02	63.672038
2.377837e+02	62.956114
2.381175e+02	62.202909
2.384513e+02	61.405565
2.387850e+02	60.568189
2.391188e+02	59.686710
2.394526e+02	58.760422
2.397864e+02	57.786533
2.401202e+02	56.764030
2.404539e+02	55.691304
2.407877e+02	54.566176
2.411215e+02	53.387634
2.414553e+02	52.153895
2.417891e+02	50.863828
2.421228e+02	49.516740
2.424566e+02	48.111655
2.427904e+02	46.649047
2.431242e+02	45.129415
2.434579e+02	43.554027
2.437917e+02	41.925730
2.441255e+02	40.247657
2.444593e+02	38.525366
2.447931e+02	36.764134
2.451268e+02	34.974531
2.454606e+02	33.164901
2.457944e+02	31.349608
2.461282e+02	29.541857
2.464619e+02	27.760114
2.467957e+02	26.023261
2.471295e+02	24.353217
2.474633e+02	22.773193
2.477971e+02	21.307295
2.481308e+02	19.980123
2.484646e+02	18.815132
2.487984e+02	17.834861
2.491322e+02	17.058421
2.494660e+02	16.500953
2.497997e+02	16.173618
2.501335e+02	16.081818
2.504673e+02	16.225355
2.508011e+02	16.598645
2.511348e+02	17.191113
2.514686e+02	17.987752
2.518024e+02	18.969980
2.521362e+02	20.116773
2.524700e+02	21.405748
2.528037e+02	22.814191
2.531375e+02	24.319508
2.534713e+02	25.900381
2.538051e+02	27.536832
2.541389e+02	29.210634
2.544726e+02	30.906311
2.548064e+02	32.609786
2.551402e+02	34.308957
2.554740e+02	35.993868
2.558077e+02	37.656123
2.561415e+02	39.289157
2.564753e+02	40.887830
2.568091e+02	42.447921
2.571429e+02	43.966313
2.574766e+02	45.441104
2.578104e+02	46.870734
2.581442e+02	48.254286
2.584780e+02	49.591312
2.588117e+02	50.881695
2.591455e+02	52.125950
2.594793e+02	53.324772
2.598131e+02	54.478497
2.601469e+02	55.588112
2.604806e+02	56.655056
2.608144e+02	57.679969
2.611482e+02	58.663380
2.614820e+02	59.606994
2.618158e+02	60.512222
2.621495e+02	61.379648
2.624833e+02	62.210408
2.628171e+02	63.005275
2.631509e+02	63.765450
2.634846e+02	64.492461
2.638184e+02	65.186971
2.641522e+02	65.849523
2.644860e+02	66.481148
2.648198e+02	67.082736
2.651535e+02	67.655092
2.654873e+02	68.199026
2.658211e+02	68.715364
2.661549e+02	69.204826
2.664887e+02	69.667908
2.668224e+02	70.105348
2.671562e+02	70.517930
2.674900e+02	70.906184
2.678238e+02	71.270590
2.681575e+02	71.611888
2.684913e+02	71.930733
2.688251e+02	72.227556
2.691589e+02	72.502850
2.694927e+02	72.757290
2.698264e+02	72.991374
2.701602e+02	73.205620
2.704940e+02	73.400495
2.708278e+02	73.576470
2.711615e+02	73.734053
2.714953e+02	73.873814
2.718291e+02	73.996159
2.721629e+02	74.101459
2.724967e+02	74.190293
2.728304e+02	74.263249
2.731642e+02	74.320652
2.734980e+02	74.362830
2.738318e+02	74.390356
2.741656e+02	74.403679
2.744993e+02	74.403319
2.748331e+02	74.389695
2.751669e+02	74.363095
2.755007e+02	74.323906
2.758344e+02	74.272880
2.761682e+02	74.210358
2.765020e+02	74.136665
2.768358e+02	74.052187
2.771696e+02	73.957393
2.775033e+02	73.852662
2.778371e+02	73.738505
2.781709e+02	73.615164
2.785047e+02	73.482873
2.788385e+02	73.342011
2.791722e+02	73.192906
2.795060e+02	73.035602
2.798398e+02	72.870172
2.801736e+02	72.696652
2.805073e+02	72.515152
2.808411e+02	72.325202
2.811749e+02	72.126763
2.815087e+02	71.919145
2.818425e+02	71.702270
2.821762e+02	71.475256
2.825100e+02	71.238088
2.828438e+02	70.988873
2.831776e+02	70.727504
2.835113e+02	70.452518
2.838451e+02	70.163978
2.841789e+02	69.859682
2.845127e+02	69.540055
2.848465e+02	69.202450
2.851802e+02	68.848030
2.855140e+02	68.472566
2.858478e+02	68.080521
2.861816e+02	67.664838
2.865154e+02	67.230824
2.868491e+02	66.779212
2.871829e+02	66.301201
2.875167e+02	65.805247
2.878505e+02	65.285515
2.881842e+02	64.747163
2.885180e+02	64.186299
2.888518e+02	63.606663
2.891856e+02	63.005561
2.895194e+02	62.386961
2.898531e+02	61.748673
2.901869e+02	61.094135
2.905207e+02	60.421553
2.908545e+02	59.733528
2.911883e+02	59.028996
2.915220e+02	58.311927
2.918558e+02	57.580915
2.921896e+02	56.838258
2.925234e+02	56.083164
2.928571e+02	55.318645
2.931909e+02	54.543734
2.935247e+02	53.760671
2.938585e+02	52.968707
2.941923e+02	52.170033
2.945260e+02	51.364029
2.948598e+02	50.553310
2.951936e+02	49.737019
2.955274e+02	48.915983
2.958611e+02	48.089738
2.961949e+02	47.260597
2.965287e+02	46.427949
2.968625e+02	45.592465
2.971963e+02	44.753702
2.975300e+02	43.912665
2.978638e+02	43.068991
2.981976e+02	42.223677
2.985314e+02	41.376496
2.988652e+02	40.528064
2.991989e+02	39.678252
2.995327e+02	38.827439
2.998665e+02	37.975535
3.002003e+02	37.123205
3.005340e+02	36.270594
3.008678e+02	35.418100
3.012016e+02	34.565939
3.015354e+02	33.714451
3.018692e+02	32.863898
3.022029e+02	32.014731
3.025367e+02	31.167337
3.028705e+02	30.322307
3.032043e+02	29.480422
3.035381e+02	28.641951
3.038718e+02	27.807432
3.042056e+02	26.977227
3.045394e+02	26.152196
3.048732e+02	25.333063
3.052069e+02	24.520493
3.055407e+02	23.715286
3.058745e+02	22.918123
3.062083e+02	22.129818
3.065421e+02	21.351103
3.068758e+02	20.582817
3.072096e+02	19.825882
3.075434e+02	19.081203
3.078772e+02	18.349638
3.082109e+02	17.632132
3.085447e+02	16.929524
3.088785e+02	16.242748
3.092123e+02	15.572729
3.095461e+02	14.920410
3.098798e+02	14.286873
3.102136e+02	13.672931
3.105474e+02	13.079372
3.108812e+02	12.507160
3.112150e+02	11.957110
3.115487e+02	11.430150
3.118825e+02	10.927061
3.122163e+02	10.448568
3.125501e+02	9.995363
3.128838e+02	9.568178
3.132176e+02	9.167657
3.135514e+02	8.794321
3.138852e+02	8.448653
3.142190e+02	8.131127
3.145527e+02	7.842148
3.148865e+02	7.582002
3.152203e+02	7.350853
3.155541e+02	7.148893
3.158879e+02	6.976217
3.162216e+02	6.832852
3.165554e+02	6.718768
3.168892e+02	6.633856
3.172230e+02	6.577852
3.175567e+02	6.550473
3.178905e+02	6.551382
3.182243e+02	6.580153
3.185581e+02	6.636331
3.188919e+02	6.719395
3.192256e+02	6.828751
3.195594e+02	6.963708
3.198932e+02	7.123593
3.202270e+02	7.307680
3.205607e+02	7.515215
3.208945e+02	7.745354
3.212283e+02	7.997246
3.215621e+02	8.270064
3.218959e+02	8.562936
3.222296e+02	8.874947
3.225634e+02	9.205159
3.228972e+02	9.552665
3.232310e+02	9.916548
3.235648e+02	10.295908
3.238985e+02	10.689791
3.242323e+02	11.097280
3.245661e+02	11.517508
3.248999e+02	11.949602
3.252336e+02	12.392676
3.255674e+02	12.845869
3.259012e+02	13.308351
3.262350e+02	13.779315
3.265688e+02	14.257991
3.269025e+02	14.743623
3.272363e+02	15.235484
3.275701e+02	15.732866
3.279039e+02	16.235069
3.282377e+02	16.741442
3.285714e+02	17.251369
3.289052e+02	17.764245
3.292390e+02	18.279535
3.295728e+02	18.796706
3.299065e+02	19.315215
3.302403e+02	19.834552
3.305741e+02	20.354306
3.309079e+02	20.874053
3.312417e+02	21.393375
3.315754e+02	21.911915
3.319092e+02	22.429293
3.322430e+02	22.945176
3.325768e+02	23.459243
3.329105e+02	23.971217
3.332443e+02	24.480815
3.335781e+02	24.987813
3.339119e+02	25.492009
3.342457e+02	25.993161
3.345794e+02	26.491092
3.349132e+02	26.985585
3.352470e+02	27.476537
3.355808e+02	27.963812
3.359146e+02	28.447255
3.362483e+02	28.926726
3.365821e+02	29.402125
3.369159e+02	29.873431
3.372497e+02	30.340522
3.375834e+02	30.803360
3.379172e+02	31.261848
3.382510e+02	31.715956
3.385848e+02	32.165664
3.389186e+02	32.610902
3.392523e+02	33.051683
3.395861e+02	33.487945
3.399199e+02	33.919740
3.402537e+02	34.347038
3.405874e+02	34.769856
3.409212e+02	35.188213
3.412550e+02	35.602079
3.415888e+02	36.011528
3.419226e+02	36.416507
3.422563e+02	36.817133
3.425901e+02	37.213419
3.429239e+02	37.605388
3.432577e+02	37.993091
3.435915e+02	38.376510
3.439252e+02	38.755784
3.442590e+02	39.130851
3.445928e+02	39.501885
3.449266e+02	39.868920
3.452603e+02	40.231982
3.455941e+02	40.591211
3.459279e+02	40.946502
3.462617e+02	41.298170
3.465955e+02	41.646015
3.469292e+02	41.990362
3.472630e+02	42.331328
3.475968e+02	42.668632
3.479306e+02	43.002889
3.482644e+02	43.333888
3.485981e+02	43.661408
3.489319e+02	43.986032
3.492657e+02	44.307975
3.495995e+02	44.626954
3.499332e+02	44.943469
3.502670e+02	45.257302
3.506008e+02	45.568703
3.509346e+02	45.877769
3.512684e+02	46.184548
3.516021e+02	46.489274
3.519359e+02	46.791859
3.522697e+02	47.092554
3.526035e+02	47.391318
3.529372e+02	47.688260
3.532710e+02	47.983485
3.536048e+02	48.276850
3.539386e+02	48.568628
3.542724e+02	48.858528
3.546061e+02	49.146743
3.549399e+02	49.433178
3.552737e+02	49.717572
3.556075e+02	50.000367
3.559413e+02	50.280511
3.562750e+02	50.559011
3.566088e+02	50.834629
3.569426e+02	51.106165
3.572764e+02	51.376353
3.576101e+02	51.644734
